Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,45748924363,,,4
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,4,Afghanistan,AFG,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,29060,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,8,Albania,ALB,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,2043668,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,32,Argentina,ARG,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,707530,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,36,Australia,AUS,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,5729842,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,40,Austria,AUT,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,5617201,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,44,Bahamas,BHS,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,3564,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,48,Bahrain,BHR,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,4513,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,50,Bangladesh,BGD,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,1429381598,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,51,Armenia,ARM,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,39688,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,56,Belgium,BEL,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,2366935,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,68,Bolivia (Plurinational State of),BOL,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,1123221,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,70,Bosnia Herzegovina,BIH,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,926716,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,72,Botswana,BWA,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,1978,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,76,Brazil,BRA,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,9966244,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,92,Br. Virgin Isds,VGB,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,52012,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,96,Brunei Darussalam,BRN,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,4601491,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,100,Bulgaria,BGR,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,23660378,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,104,Myanmar,MMR,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,63778177,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,112,Belarus,BLR,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,58301,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,116,Cambodia,KHM,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,1653591037,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,120,Cameroon,CMR,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,129168,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,124,Canada,CAN,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,176402149,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,132,Cabo Verde,CPV,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,56049,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,136,Cayman Isds,CYM,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,1328,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,144,Sri Lanka,LKA,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,1132293771,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,152,Chile,CHL,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,51753,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,156,China,CHN,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,14884551494,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,162,Christmas Isds,CXR,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,2480,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,166,Cocos Isds,CCK,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,88091,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,170,Colombia,COL,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,93193973,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,184,Cook Isds,COK,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,19305,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,188,Costa Rica,CRI,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,20923254,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,191,Croatia,HRV,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,3545343,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,196,Cyprus,CYP,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,63544,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,203,Czechia,CZE,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,1596988,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,208,Denmark,DNK,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,1617663,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,214,Dominican Rep.,DOM,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,491410140,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,218,Ecuador,ECU,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,3601702,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,222,El Salvador,SLV,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,1690453999,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,231,Ethiopia,ETH,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,37647036,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,233,Estonia,EST,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,197932,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,234,Faeroe Isds,FRO,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,18284,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,242,Fiji,FJI,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,86897,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,246,Finland,FIN,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,235757,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,251,France,FRA,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,26129326,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,266,Gabon,GAB,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,20137,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,268,Georgia,GEO,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,2335833,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,270,Gambia,GMB,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,318,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,275,State of Palestine,PSE,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,1819,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,276,Germany,DEU,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,14021886,,,4
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,288,Ghana,GHA,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,8239133,,,0
H5,2017,2017,2017,2,0,1,Import,842,USA,USA,296,Kiribati,KIR,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,0,,,,0,,40574,,,0
